               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,             0.04208,            0.010148,            0.017559,             0.72366,             0.97619,             0.91394,             0.56147,             0.01153,           0.0057555,           0.0021599,            0.008317,            0.008317,            0.008317
                  87,            0.039955,           0.0085433,             0.02028,             0.88484,                   1,              0.9845,             0.65826,            0.010057,           0.0051916,            0.002196,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03828,            0.010954,           0.0094891,             0.74499,                   1,             0.93597,             0.67441,            0.010191,           0.0051504,           0.0022345,           0.0082774,           0.0082774,           0.0082774
                  89,            0.037955,            0.011102,            0.011531,             0.71962,             0.92906,             0.81018,             0.65804,            0.011848,           0.0049291,           0.0022556,           0.0082576,           0.0082576,           0.0082576
                  90,            0.038971,           0.0090815,             0.01483,             0.80423,              0.9618,             0.89766,             0.63195,             0.01031,           0.0045898,           0.0022714,           0.0082378,           0.0082378,           0.0082378
                  91,            0.037821,           0.0085121,           0.0097596,             0.95279,             0.97959,               0.995,               0.609,            0.010442,           0.0048912,            0.002384,            0.008218,            0.008218,            0.008218
                  92,            0.036576,            0.010867,            0.010845,              0.5223,             0.97619,              0.7905,             0.51687,           0.0097212,           0.0047177,           0.0025324,           0.0081982,           0.0081982,           0.0081982
                  93,            0.033977,             0.01088,            0.012272,             0.98165,              0.9905,               0.995,             0.60398,            0.011141,           0.0046546,           0.0022937,           0.0081784,           0.0081784,           0.0081784
                  94,             0.03574,            0.010415,            0.010487,             0.98453,                   1,               0.995,             0.60513,            0.010317,           0.0043392,           0.0020732,           0.0081586,           0.0081586,           0.0081586
                  95,            0.035653,           0.0095967,           0.0097348,             0.99075,                   1,               0.995,              0.5902,           0.0098606,           0.0040505,            0.001922,           0.0081388,           0.0081388,           0.0081388
                  96,            0.033098,           0.0096098,           0.0081688,             0.75123,              0.9663,             0.95176,              0.6574,            0.012152,           0.0041395,           0.0017882,            0.008119,            0.008119,            0.008119
                  97,            0.040049,            0.010194,            0.009391,             0.98732,                   1,               0.995,             0.60692,           0.0099278,           0.0036351,           0.0017291,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030694,           0.0079886,           0.0073115,             0.95819,                   1,             0.99295,             0.67731,            0.010764,           0.0040951,           0.0017388,           0.0080794,           0.0080794,           0.0080794
                  99,            0.034864,            0.010852,           0.0073301,             0.98705,                   1,               0.995,             0.46591,            0.014239,           0.0037477,           0.0016966,           0.0080596,           0.0080596,           0.0080596
                 100,            0.036154,           0.0088336,           0.0083784,             0.98653,                   1,               0.995,             0.77472,            0.009763,           0.0036748,           0.0018057,           0.0080398,           0.0080398,           0.0080398
                 101,            0.041824,           0.0094882,            0.010804,             0.99184,                   1,               0.995,             0.74722,           0.0082078,           0.0031482,           0.0017173,             0.00802,             0.00802,             0.00802
                 102,            0.029396,           0.0096691,           0.0087176,             0.99694,             0.99234,               0.995,             0.62556,             0.01155,           0.0031323,           0.0018547,           0.0080002,           0.0080002,           0.0080002
                 103,            0.033295,           0.0089611,           0.0067286,             0.99214,                   1,               0.995,             0.64019,            0.009255,           0.0030262,           0.0017826,           0.0079804,           0.0079804,           0.0079804
                 104,            0.037698,            0.010293,           0.0075374,             0.96406,                   1,               0.995,             0.53768,            0.011276,           0.0033798,           0.0017801,           0.0079606,           0.0079606,           0.0079606
                 105,            0.034336,           0.0087567,            0.007838,             0.97732,             0.99743,               0.995,              0.6545,            0.012403,             0.00319,           0.0017943,           0.0079408,           0.0079408,           0.0079408
                 106,            0.035545,           0.0092067,           0.0088392,             0.91701,              0.9701,             0.99159,             0.57556,            0.011122,           0.0034884,           0.0019439,            0.007921,            0.007921,            0.007921
                 107,            0.043081,           0.0079616,           0.0063069,             0.97711,               0.993,               0.995,             0.70512,              0.0107,            0.003245,           0.0019212,           0.0079012,           0.0079012,           0.0079012
                 108,            0.031175,           0.0081035,           0.0061383,             0.98938,             0.99622,               0.995,             0.68286,           0.0095078,           0.0029978,           0.0017546,           0.0078814,           0.0078814,           0.0078814
                 109,            0.027144,           0.0085326,           0.0065543,             0.88926,                   1,             0.98458,             0.68885,            0.011151,           0.0029933,           0.0016735,           0.0078616,           0.0078616,           0.0078616
                 110,            0.035878,           0.0081209,           0.0092305,             0.77907,             0.97619,             0.92714,             0.54673,           0.0097612,           0.0030517,           0.0017331,           0.0078418,           0.0078418,           0.0078418
                 111,            0.034202,           0.0093724,           0.0055792,             0.97832,             0.98936,               0.995,             0.73932,           0.0087783,           0.0030321,            0.001879,            0.007822,            0.007822,            0.007822
                 112,            0.031075,            0.010334,           0.0073254,             0.82303,             0.92857,             0.95827,             0.60902,           0.0098434,           0.0033637,           0.0028364,           0.0078022,           0.0078022,           0.0078022
                 113,            0.031194,           0.0086862,           0.0074763,             0.95632,             0.92857,             0.97324,              0.6705,           0.0090811,           0.0033449,           0.0036721,           0.0077824,           0.0077824,           0.0077824
                 114,            0.032084,           0.0079518,           0.0070696,             0.88338,             0.90465,             0.95612,             0.63621,           0.0079089,           0.0034563,           0.0059662,           0.0077626,           0.0077626,           0.0077626
                 115,            0.029481,           0.0070167,            0.011152,             0.74685,             0.86449,             0.85602,             0.53142,           0.0098968,           0.0035801,           0.0057214,           0.0077428,           0.0077428,           0.0077428
                 116,             0.03397,            0.008455,           0.0078717,             0.91575,             0.91912,             0.93715,             0.62973,            0.009825,           0.0033912,           0.0047648,            0.007723,            0.007723,            0.007723
                 117,            0.031441,           0.0095003,           0.0077583,              0.9922,              0.9793,               0.995,             0.62363,           0.0084967,           0.0029424,           0.0020306,           0.0077032,           0.0077032,           0.0077032
                 118,            0.032347,           0.0083517,           0.0095238,             0.99233,                   1,               0.995,             0.70717,           0.0091076,            0.002727,           0.0017299,           0.0076834,           0.0076834,           0.0076834
                 119,            0.030808,           0.0058048,           0.0086693,             0.91063,             0.97619,             0.98667,             0.70142,           0.0091118,           0.0025685,           0.0018044,           0.0076636,           0.0076636,           0.0076636
                 120,            0.031234,             0.01077,            0.010315,             0.98666,                   1,               0.995,             0.65307,            0.009135,           0.0026035,             0.00186,           0.0076438,           0.0076438,           0.0076438
                 121,            0.035674,           0.0081868,           0.0086472,             0.99401,                   1,               0.995,             0.77792,           0.0070556,           0.0026867,           0.0019601,            0.007624,            0.007624,            0.007624
                 122,            0.026807,           0.0076926,           0.0095696,             0.99464,                   1,               0.995,             0.71293,            0.010749,           0.0025989,           0.0018089,           0.0076042,           0.0076042,           0.0076042
                 123,            0.034661,           0.0085585,           0.0073639,             0.99338,                   1,               0.995,             0.69619,           0.0082845,            0.002645,           0.0017736,           0.0075844,           0.0075844,           0.0075844
                 124,            0.030027,            0.010001,           0.0084568,              0.9932,                   1,               0.995,             0.68749,            0.011839,           0.0028342,           0.0016687,           0.0075646,           0.0075646,           0.0075646
                 125,            0.032749,           0.0089638,           0.0081174,             0.99156,                   1,               0.995,             0.73989,           0.0072146,           0.0028025,           0.0017226,           0.0075448,           0.0075448,           0.0075448
                 126,            0.024656,           0.0081818,            0.006392,             0.82754,             0.99369,              0.9925,             0.64129,           0.0098367,           0.0028188,           0.0016443,            0.007525,            0.007525,            0.007525
                 127,            0.033416,           0.0068558,           0.0067302,              0.9915,                   1,               0.995,             0.73735,           0.0089221,           0.0025764,           0.0016695,           0.0075052,           0.0075052,           0.0075052
                 128,            0.029062,           0.0093387,           0.0064685,             0.99566,                   1,               0.995,             0.62199,            0.010145,           0.0025693,           0.0015819,           0.0074854,           0.0074854,           0.0074854
                 129,             0.03403,           0.0082598,           0.0097508,             0.97336,                   1,               0.995,             0.69705,           0.0092007,           0.0024968,           0.0016131,           0.0074656,           0.0074656,           0.0074656
                 130,            0.029525,            0.010321,           0.0080506,             0.99636,                   1,               0.995,             0.65399,           0.0089705,           0.0024172,           0.0015568,           0.0074458,           0.0074458,           0.0074458
                 131,            0.030088,           0.0084496,           0.0099127,             0.99607,                   1,               0.995,             0.80417,            0.007499,           0.0024587,           0.0015787,            0.007426,            0.007426,            0.007426
                 132,            0.028928,           0.0070421,           0.0078241,             0.98503,             0.97368,             0.99159,              0.6507,            0.011654,           0.0026134,           0.0016322,           0.0074062,           0.0074062,           0.0074062
                 133,            0.028474,           0.0072606,           0.0055715,              0.9801,             0.99464,               0.995,             0.84255,           0.0066834,           0.0025204,           0.0018085,           0.0073864,           0.0073864,           0.0073864
                 134,            0.024161,           0.0071853,           0.0079711,             0.94327,             0.94737,             0.98735,             0.71141,            0.009809,           0.0028108,           0.0035213,           0.0073666,           0.0073666,           0.0073666
                 135,            0.033736,           0.0077839,            0.014373,             0.93515,             0.90699,             0.98617,             0.66379,           0.0087259,           0.0031796,            0.003232,           0.0073468,           0.0073468,           0.0073468
                 136,            0.030401,           0.0074614,           0.0080837,              0.9263,              0.9717,             0.99326,             0.57719,            0.010719,           0.0029014,           0.0017526,            0.007327,            0.007327,            0.007327
                 137,            0.031011,           0.0080791,           0.0061827,             0.99379,                   1,               0.995,             0.64641,           0.0078348,           0.0027132,           0.0014932,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027166,            0.010473,           0.0070527,              0.9714,                   1,             0.99375,             0.78139,           0.0086787,           0.0027409,           0.0014133,           0.0072874,           0.0072874,           0.0072874
                 139,            0.031067,           0.0076251,           0.0067483,              0.9902,             0.99816,               0.995,             0.61926,           0.0081859,            0.002776,           0.0015455,           0.0072676,           0.0072676,           0.0072676
                 140,            0.029206,           0.0083438,           0.0084991,             0.98065,             0.99486,               0.995,             0.67913,           0.0082909,           0.0027757,           0.0017287,           0.0072478,           0.0072478,           0.0072478
